time,location,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2024-07-28,,56.58797619047616,37.28845238095236,493.58690476190446,27.73571428571427,24.21630952380951,100.23333333333328,62.1474206349205952430262793,56.58797619047616223042496131,24.67934523809522384674153272,100.3431372549018785842717454,30.27038690476188786959710342,34.6696428571428372222840153,6,100.3431372549018785842717454
2024-07-29,,66.54178571428567,40.26797619047617,456.0464285714283,25.55547619047617,21.54214285714285,94.24404761904756,67.11329365079361508605870767,66.5417857142856661312180222,22.80232142857141486302907651,94.2440476190475635576149216,26.92767857142856158247923305,31.94434523809521309090087015,6,94.2440476190475635576149216
2024-07-30,,73.40273809523805,46.99571428571426,577.4999999999997,35.03214285714284,25.345119047619036,98.19047619047612,78.32619047619042855027752618,73.40273809523804970922356006,28.87499999999998401278844540,98.1904761904761187452095328,31.68139880952379527911944025,43.7901785714285463058104142,6,98.1904761904761187452095328
2024-07-31,,47.79833333333331,29.94166666666665,489.4749999999997,29.869404761904743,20.533690476190465,72.68214285714281,49.90277777777774777708449013,47.79833333333331069070482044,24.47374999999998301802861533,72.68214285714280720185342944,25.66711309523808104415820708,37.33675595238092892458325878,6,72.68214285714280720185342944
2024-08-01,,58.3455952380952,39.38964285714284,572.9785714285712,36.261071428571405,30.610595238095215,97.27499999999992,65.64940476190473124991816197,58.34559523809519987480598502,28.64892857142856130714392293,97.27499999999992041921359488,38.26324404761901831761861102,45.32633928571425663278660068,6,97.27499999999992041921359488
2024-08-02,,38.72749999999998,26.778928571428555,452.5964285714283,26.81357142857141,20.59749999999999,87.98095238095233,44.63154761904759126878161623,38.72749999999997783106664428,22.62982142857141443226254296,87.98095238095233128206018592,25.74687499999998685495938845,33.51696428571426356057827432,6,87.98095238095233128206018592
2024-08-03,,43.03428571428569,29.0642857142857,408.9178571428569,23.305595238095226,19.4020238095238,88.16547619047613,48.4404761904761649304873572,43.0342857142856871632830007,20.44589285714284720985034483,88.16547619047612727172236192,24.25252976190475084905529002,29.13199404761903199556627442,6,88.16547619047612727172236192
2024-08-04,,39.89285714285712,22.46630952380951,311.60952380952364,14.66154761904761,15.97857142857142,91.86547619047614,37.44384920634918382612947123,39.892857142857117480616580,15.58047619047618070897698317,91.86547619047614432474802016,19.97321428571427581744046620,18.32693452380951271152298432,6,91.86547619047614432474802016
2024-08-05,,32.748452380952365,23.13809523809522,307.42023809523795,17.32749999999999,15.928690476190468,83.62380952380947,38.56349206349203602902283213,32.7484523809523651038944081,15.37101190476189704892107102,83.62380952380947007895883872,19.91086309523808495214325376,21.65937499999998738786644026,6,83.62380952380947007895883872
2024-08-06,,37.68714285714284,24.320952380952367,391.08809523809504,26.02107142857141,21.18535714285713,94.36428571428566,40.5349206349206111118140446,37.68714285714283818151670858,19.55440476190475063145157719,94.36428571428565703627100448,26.48169642857141070635407232,32.52633928571426302767122252,6,94.36428571428565703627100448
2024-08-07,,52.11035714285711,34.546309523809505,498.1011904761902,37.150357142857125,25.417499999999983,99.34999999999997,57.57718253968250839610239685,52.11035714285711151205759961,24.90505952380950849267549074,99.34999999999996589394868352,31.77187499999997832844655932,46.43794642857140608782628988,6,99.34999999999996589394868352
2024-08-08,,49.93880952380949,34.31738095238094,567.9261904761902,37.04797619047617,30.71309523809522,82.3630952380952,57.19563492063489462680081488,49.93880952380948912150415708,28.39630952380950978941598351,82.3630952380951981695034192,38.3913690476190261335887044,46.30997023809521273562950228,6,82.3630952380951981695034192
